,feature,value
197,DIFF(tanAsset2 by sido),0.01758286071543576
198,DIFF(OnonCAsset2 by ownerChange),0.06764286540024493
199,DIFF(noe1 by sido),0.04481760823258914
200,DIFF(noi1 by ownerChange),0.02753593681355588
201,DIFF(OnonCAsset1 by instkind),0.08634342516932826
202,DIFF(sgg by instkind),0.07110501071614854
203,DIFF(shortLoan2 by ownerChange),0.017376757188010843
204,DIFF(debt2 by sido),0.013950957383971799
205,DIFF(noe1 by instkind),0.012029750341406424
206,DIFF(ctax2 by instkind),0.029179873735785847
207,DIFF(receivableS2 by ownerChange),0.0255263659322321
208,DIFF(profit2 by instkind),0.02755693766123697
209,DIFF(surplus1 by ownerChange),0.014450396715912138
210,DIFF(salescost2 by ownerChange),0.018625169749486047
211,DIFF(longLoan2 by sido),0.007073439159685912
212,DIFF(salescost1 by sido),0.02071429123454605
213,DIFF(profit1 by sido),0.026688856473784123
214,DIFF(profit1 by ownerChange),0.026068964558613045
215,DIFF(noe2 by instkind),0.023270827491665442
216,DIFF(sga2 by sido),0.010534360176951394
217,DIFF(tanAsset2 by ownerChange),0.010173406226572517
218,DIFF(netAsset2 by sido),0.0167858936970977
219,DIFF(NCLiabilities2 by sido),0.004458550605870451
220,DIFF(inventoryAsset2 by ownerChange),0.017173441917014358
221,DIFF(debt2 by ownerChange),0.009867056981861445
222,DIFF(tanAsset1 by sido),0.021008048383867883
223,DIFF(tanAsset1 by instkind),0.018341796308692756
224,DIFF(salary2 by sido),0.00532462735202532
225,DIFF(surplus1 by instkind),0.02511362106471638
226,DIFF(quickAsset1 by sido),0.012365449228009622
227,DIFF(surplus1 by sido),0.020940377681420697
228,DIFF(salary1 by sido),0.009515735687564307
229,DIFF(sgg by ownerChange),0.11770443208549101
230,DIFF(NCLiabilities1 by ownerChange),0.009960088301223403
231,DIFF(inventoryAsset1 by ownerChange),0.024895216856709174
232,DIFF(ctax2 by sido),0.04993512216398433
233,DIFF(nonCAsset1 by instkind),0.013139880324162785
234,DIFF(salescost2 by sido),0.017214236926398813
235,DIFF(salary1 by ownerChange),0.0119441319090211
236,DIFF(longLoan1 by instkind),0.016563755656749345
237,DIFF(liquidAsset2 by sido),0.046365389781358644
238,DIFF(ctax1 by ownerChange),0.017402769322026924
239,DIFF(sga1 by sido),0.013736276805560834
240,DIFF(nonCAsset1 by sido),0.015399322869197556
241,DIFF(shortLoan2 by sido),0.016578154020554153
242,DIFF(sga2 by instkind),0.026383163204301945
243,DIFF(revenue1 by instkind),0.007552944394153821
244,DIFF(profit1 by instkind),0.028640596149922995
245,DIFF(nonCAsset1 by ownerChange),0.010764995042371389
246,DIFF(noi2 by instkind),0.05721187981587392
247,DIFF(receivableS1 by ownerChange),0.05303568775928105
248,DIFF(quickAsset2 by sido),0.021868894917561124
249,DIFF(NCLiabilities1 by instkind),0.019227865708304023
250,DIFF(liquidAsset2 by instkind),0.0400217035370426
251,DIFF(shortLoan1 by instkind),0.07807701976234163
252,DIFF(receivableS2 by instkind),0.020479408075019166
253,DIFF(liquidAsset2 by ownerChange),0.031691211555792735
254,DIFF(interest1 by instkind),0.04321427658210532
255,DIFF(salary2 by ownerChange),0.016304873653664714
256,DIFF(inventoryAsset1 by instkind),0.01876984663034657
257,DIFF(receivableS2 by sido),0.039155281225551675
258,DIFF(liquidLiabilities2 by ownerChange),0.03205673015359884
259,DIFF(liquidAsset1 by instkind),0.025436087081535785
260,DIFF(shortLoan2 by instkind),0.051257718884674515
261,DIFF(quickAsset1 by instkind),0.008804820792580385
262,DIFF(inventoryAsset1 by sido),0.020486244152886367
263,DIFF(revenue2 by instkind),0.03168211097252419
264,DIFF(receivableL2 by sido),0.0
265,DIFF(ctax1 by sido),0.03923735311033687
266,city.STD(clients.salary1),0.014859664014637989
267,kind.MEAN(clients.nonCAsset1),0.006486897906778351
268,change.MEDIAN(clients.NCLiabilities2),0.0
269,change.MEDIAN(clients.surplus1),0.0
270,kind.MEAN(clients.longLoan2),0.004426209147990562
271,city.MEAN(clients.salescost1),0.040375167633647714
272,city.STD(clients.noi2),0.013478587609744495
273,city.MEDIAN(clients.liquidLiabilities1),0.0025028958946157667
274,kind.MEDIAN(clients.shortLoan1),0.005830678809199317
275,kind.SUM(clients.longLoan2),0.0048725340320149675
276,change.MEDIAN(clients.netAsset1),7.018154872903679e-05
277,city.SUM(clients.liquidLiabilities2),0.001223046274700601
278,city.MEAN(clients.longLoan2),0.009491940032074202
279,change.STD(clients.receivableL1),0.0
280,city.MEAN(clients.inventoryAsset2),0.003983861770708826
281,change.SUM(clients.receivableL2),0.0
282,change.SUM(clients.liquidLiabilities2),0.0
283,change.COUNT(clients),0.0
284,change.MEAN(clients.nonCAsset2),7.755185582488273e-05
285,city.MEAN(clients.NCLiabilities1),0.007959806365929096
286,kind.MEDIAN(clients.quickAsset2),0.0045495556353169425
287,kind.STD(clients.inventoryAsset1),0.007120718396377254
288,change.STD(clients.noe1),0.0
289,city.STD(clients.inventoryAsset2),0.008469972718295336
290,change.MEAN(clients.sga2),0.000333762981297999
291,city.STD(clients.debt2),0.005419903841658944
292,change.SUM(clients.salary1),0.0
293,change.MEDIAN(clients.noi2),0.0
294,change.STD(clients.sga1),0.00014740249307253306
295,kind.STD(clients.receivableL2),0.0031493239231371525
296,kind.STD(clients.sga2),0.00531948907560678
297,change.MEDIAN(clients.sga1),7.525549722367059e-05
298,city.MEDIAN(clients.netAsset1),0.00581156543205292
299,kind.MEAN(clients.tanAsset1),0.006160996840775637
300,kind.STD(clients.NCLiabilities1),0.00301515636927843
301,kind.MEAN(clients.netAsset2),0.014019275183071694
